,split0_test_rmse,split1_test_rmse,split2_test_rmse,split3_test_rmse,split4_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_n_factors,param_n_epochs,param_lr_all,param_reg_all
0,0.9414166259047869,0.9406646496311427,0.9416974614953028,0.9435281200245889,0.9352744213695546,0.9405162556850752,0.002784819141448564,23,1.8621586322784425,0.027752622469617762,0.17686109542846679,0.05689066634894446,"{'n_factors': 20, 'n_epochs': 20, 'lr_all': 0.005, 'reg_all': 0.02}",20,20,0.005,0.02
1,0.9424005964444051,0.9423153155950994,0.9463432492578049,0.9448057353964635,0.9411655998392532,0.9434060993066051,0.001887141435836211,28,1.8730790138244628,0.08532640298785318,0.17112016677856445,0.061080442326255105,"{'n_factors': 20, 'n_epochs': 20, 'lr_all': 0.005, 'reg_all': 0.1}",20,20,0.005,0.1
2,0.9465085778869703,0.9477738260459311,0.9515250902083281,0.9513112816676281,0.9458766916015325,0.948599093482078,0.0023824447691232838,29,1.7690276622772216,0.08455063065718706,0.15883407592773438,0.05618906077033842,"{'n_factors': 20, 'n_epochs': 20, 'lr_all': 0.01, 'reg_all': 0.02}",20,20,0.01,0.02
3,0.9328787104814835,0.9304673820024288,0.9362578764505679,0.9329943424653255,0.928825013372279,0.932284664954417,0.002526446051204727,20,1.7733000278472901,0.07544886262397613,0.14314422607421876,0.04343975157272751,"{'n_factors': 20, 'n_epochs': 20, 'lr_all': 0.01, 'reg_all': 0.1}",20,20,0.01,0.1
4,0.9508971299994254,0.9480090732649155,0.9540741798825225,0.9500079819933059,0.9471132443087822,0.9500203218897904,0.0024371676369288604,30,3.7507458209991453,0.24121202262199587,0.1640038013458252,0.04920029560337852,"{'n_factors': 20, 'n_epochs': 40, 'lr_all': 0.005, 'reg_all': 0.02}",20,40,0.005,0.02
5,0.9302469080880876,0.9329160991802395,0.9338540450297976,0.9331445985619038,0.926723588807524,0.9313770479335105,0.0026290806943281815,19,3.839404296875,0.15558608810663824,0.17318348884582518,0.05586953226844286,"{'n_factors': 20, 'n_epochs': 40, 'lr_all': 0.005, 'reg_all': 0.1}",20,40,0.005,0.1
6,0.9956808232551994,0.9970135588259618,1.0030177514449663,0.996997793877419,0.990984514217113,0.9967388883241319,0.0038418464600735347,43,3.6153104305267334,0.18177590742724584,0.17399864196777343,0.061489164612793946,"{'n_factors': 20, 'n_epochs': 40, 'lr_all': 0.01, 'reg_all': 0.02}",20,40,0.01,0.02
7,0.9186629091134265,0.9186984553015125,0.9207233527518125,0.9197043845545805,0.9173632348858219,0.9190304673214309,0.0011265008237478146,9,3.6570157051086425,0.12226950914992911,0.1694469451904297,0.05456220797029868,"{'n_factors': 20, 'n_epochs': 40, 'lr_all': 0.01, 'reg_all': 0.1}",20,40,0.01,0.1
8,0.9789714191844641,0.9823282151467233,0.9818341029199206,0.9768405209696649,0.9728571917629455,0.9785662899967438,0.003480427938390798,37,5.235225200653076,0.07809319384352015,0.15238075256347655,0.05457367130246049,"{'n_factors': 20, 'n_epochs': 60, 'lr_all': 0.005, 'reg_all': 0.02}",20,60,0.005,0.02
9,0.9198089790480084,0.9196471452491276,0.9245949040577218,0.9229684320590336,0.9218888972368227,0.9217816715301428,0.0018858363254932202,12,5.126121187210083,0.06163934535511117,0.15651044845581055,0.057287093180662024,"{'n_factors': 20, 'n_epochs': 60, 'lr_all': 0.005, 'reg_all': 0.1}",20,60,0.005,0.1
10,1.0270361248182525,1.0177912475602353,1.0252100629610412,1.024457670893045,1.020354379384688,1.0229698971234524,0.0033889634337285588,47,5.323618745803833,0.1290266540398867,0.15995802879333496,0.05554290554556023,"{'n_factors': 20, 'n_epochs': 60, 'lr_all': 0.01, 'reg_all': 0.02}",20,60,0.01,0.02
11,0.9183718484949666,0.9169622911148697,0.9244203162848745,0.9202246629632542,0.9173126209240402,0.9194583479564009,0.002728490194805884,10,5.263127660751342,0.1092291961016297,0.16170811653137207,0.05436701088965365,"{'n_factors': 20, 'n_epochs': 60, 'lr_all': 0.01, 'reg_all': 0.1}",20,60,0.01,0.1
12,0.9385533658893542,0.9383882060311313,0.9413344301102116,0.9400181945708777,0.9380421461457606,0.9392672685494672,0.0012345347002959137,21,2.4000213623046873,0.13282997727513435,0.15593180656433106,0.051010491270603815,"{'n_factors': 40, 'n_epochs': 20, 'lr_all': 0.005, 'reg_all': 0.02}",40,20,0.005,0.02
13,0.9411526921575357,0.9416988101542385,0.9457061203564666,0.9438085856441185,0.9404410002872421,0.9425614417199203,0.0019323225461533647,27,2.4230666637420653,0.10751619980541109,0.16445412635803222,0.059383614093250416,"{'n_factors': 40, 'n_epochs': 20, 'lr_all': 0.005, 'reg_all': 0.1}",40,20,0.005,0.1
14,0.9565344225070279,0.9540146933475202,0.9613860402450639,0.9557808036731809,0.9559817809501159,0.9567395481445817,0.0024718495550718604,32,2.28287558555603,0.028246076438114224,0.15124740600585937,0.05670045533757005,"{'n_factors': 40, 'n_epochs': 20, 'lr_all': 0.01, 'reg_all': 0.02}",40,20,0.01,0.02
15,0.927727059007498,0.9289497557642963,0.9329258054902222,0.9319409244133685,0.9282864209886268,0.9299659931328023,0.0020749636020029375,18,2.389659070968628,0.10270055807893179,0.13681445121765137,0.04058372497223112,"{'n_factors': 40, 'n_epochs': 20, 'lr_all': 0.01, 'reg_all': 0.1}",40,20,0.01,0.1
