,split0_test_rmse,split1_test_rmse,split2_test_rmse,split3_test_rmse,split4_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_k,param_sim_options
0,1.1035133802102213,1.107316908043603,1.104044953319557,1.1038481085704528,1.1094554314845932,1.1056357563256856,0.0023514679880798895,28,0.48672003746032716,0.011469076792988479,2.1262770175933836,0.1225658666042024,"{'k': 4, 'sim_options': {'name': 'msd', 'min_support': 1, 'user_based': False}}",4,"{'name': 'msd', 'min_support': 1, 'user_based': False}"
1,1.0761735374301595,1.0779515394145327,1.0797582532192662,1.0762423106745769,1.0795344354924004,1.077932015246187,0.0015395208827243265,19,0.49554619789123533,0.056639426450755134,2.1457123279571535,0.30314793381168825,"{'k': 4, 'sim_options': {'name': 'msd', 'min_support': 2, 'user_based': False}}",4,"{'name': 'msd', 'min_support': 2, 'user_based': False}"
2,1.061823744424459,1.0658209484648942,1.0661561583097368,1.06249820737116,1.065780671454164,1.0644159460048825,0.001858067643082137,16,0.4190783977508545,0.013093455062410471,1.7797832489013672,0.041807644729453156,"{'k': 4, 'sim_options': {'name': 'msd', 'min_support': 3, 'user_based': False}}",4,"{'name': 'msd', 'min_support': 3, 'user_based': False}"
3,1.2121288627475773,1.2111984360802839,1.2193922304680744,1.2114245549681764,1.2248645824019537,1.2158017333332132,0.005456499194450976,45,1.3416842460632323,0.02018934513098035,1.782268190383911,0.0591968465599674,"{'k': 4, 'sim_options': {'name': 'cosine', 'min_support': 1, 'user_based': False}}",4,"{'name': 'cosine', 'min_support': 1, 'user_based': False}"
4,1.1618298485765524,1.1566096234379497,1.1658017351714405,1.1601361422617102,1.1672443447003695,1.1623243388296045,0.0038468023064436403,41,1.109921646118164,0.014065875598767277,1.7611311435699464,0.053819694268038246,"{'k': 4, 'sim_options': {'name': 'cosine', 'min_support': 2, 'user_based': False}}",4,"{'name': 'cosine', 'min_support': 2, 'user_based': False}"
5,1.1360957480043539,1.1324447833588709,1.144857614462269,1.1377619772838823,1.1418988086857687,1.138611786359029,0.0043565912119928295,36,1.0040650844573975,0.006409653163947951,1.754806137084961,0.04437764691803831,"{'k': 4, 'sim_options': {'name': 'cosine', 'min_support': 3, 'user_based': False}}",4,"{'name': 'cosine', 'min_support': 3, 'user_based': False}"
6,1.2080947276525886,1.205287849963947,1.2113369543523007,1.2082237116234293,1.2159008923824959,1.2097688271949523,0.0036147031578759098,44,1.833076810836792,0.025159505627027637,1.7842541694641114,0.05545932954753536,"{'k': 4, 'sim_options': {'name': 'pearson', 'min_support': 1, 'user_based': False}}",4,"{'name': 'pearson', 'min_support': 1, 'user_based': False}"
7,1.2080947276525886,1.205287849963947,1.2113369543523007,1.2082237116234293,1.2159008923824959,1.2097688271949523,0.0036147031578759098,43,1.5271809577941895,0.012120257072285368,1.744184637069702,0.03189553238565814,"{'k': 4, 'sim_options': {'name': 'pearson', 'min_support': 2, 'user_based': False}}",4,"{'name': 'pearson', 'min_support': 2, 'user_based': False}"
8,1.1849626906264465,1.18458747993006,1.1926464912294572,1.1888057936229492,1.1955814048221078,1.1893167720462041,0.004287609626236607,42,1.397562313079834,0.014361718045009585,1.7552998065948486,0.0535172448650312,"{'k': 4, 'sim_options': {'name': 'pearson', 'min_support': 3, 'user_based': False}}",4,"{'name': 'pearson', 'min_support': 3, 'user_based': False}"
9,1.055098174408088,1.0614763521774018,1.0574231360867064,1.0580537786136264,1.0620624879628908,1.0588227858497425,0.0026061544857085535,13,0.40297651290893555,0.03011677021158823,1.8202986240386962,0.07906068975635686,"{'k': 6, 'sim_options': {'name': 'msd', 'min_support': 1, 'user_based': False}}",6,"{'name': 'msd', 'min_support': 1, 'user_based': False}"
10,1.0354058337393262,1.0393840106593941,1.0368727474869248,1.0359759545734184,1.0360815616479362,1.0367440216214,0.001400402762318781,11,0.38426756858825684,0.04059877893727651,1.8217663288116455,0.05525663738025779,"{'k': 6, 'sim_options': {'name': 'msd', 'min_support': 2, 'user_based': False}}",6,"{'name': 'msd', 'min_support': 2, 'user_based': False}"
11,1.0255884207622157,1.0307297573736869,1.025316618988047,1.0256938118757235,1.0276933625644693,1.0270043943128284,0.00204568815582443,9,0.4280789852142334,0.006873850721558981,1.854858636856079,0.06126253259161892,"{'k': 6, 'sim_options': {'name': 'msd', 'min_support': 3, 'user_based': False}}",6,"{'name': 'msd', 'min_support': 3, 'user_based': False}"
12,1.1562840079228143,1.1565389426302048,1.1593289185479634,1.1563969865169756,1.1645318199512935,1.1586161351138504,0.003168013688865472,38,1.3446341514587403,0.012634356064647665,1.8465691089630127,0.05154146936613343,"{'k': 6, 'sim_options': {'name': 'cosine', 'min_support': 1, 'user_based': False}}",6,"{'name': 'cosine', 'min_support': 1, 'user_based': False}"
13,1.1141572505017954,1.1095767627361914,1.1156421675132613,1.1143978338792682,1.1151395647298756,1.1137827158720783,0.002168284453742502,31,1.1171586990356446,0.014184129079946177,1.8490386009216309,0.05352656890739694,"{'k': 6, 'sim_options': {'name': 'cosine', 'min_support': 2, 'user_based': False}}",6,"{'name': 'cosine', 'min_support': 2, 'user_based': False}"
14,1.0958511109027094,1.0958881214769367,1.099096611071058,1.0971290264080285,1.0966589528349866,1.0969247645387439,0.0011879947054415805,23,1.0139391899108887,0.015451400579131956,1.8725425243377685,0.060703056009120196,"{'k': 6, 'sim_options': {'name': 'cosine', 'min_support': 3, 'user_based': False}}",6,"{'name': 'cosine', 'min_support': 3, 'user_based': False}"
