,split0_test_rmse,split1_test_rmse,split2_test_rmse,split3_test_rmse,split4_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_k,param_sim_options
0,1.0486826158592173,1.052002561493423,1.054366865032668,1.052321175445265,1.0473480545115712,1.050944254468429,0.0025603847968000723,28,0.2888329982757568,0.01802386417198695,1.7386801719665528,0.13485781768507504,"{'k': 4, 'sim_options': {'name': 'msd', 'min_support': 1, 'user_based': True}}",4,"{'name': 'msd', 'min_support': 1, 'user_based': True}"
1,1.0416475075375988,1.0486704256031423,1.0491723804993007,1.0468143337427216,1.0418218762828957,1.0456253047331319,0.003272834737484244,25,0.27827906608581543,0.01053125785631028,1.5495183944702149,0.06756102890922744,"{'k': 4, 'sim_options': {'name': 'msd', 'min_support': 2, 'user_based': True}}",4,"{'name': 'msd', 'min_support': 2, 'user_based': True}"
2,1.0382802075535544,1.0470127915147462,1.0444783549572876,1.04418492515975,1.0378386658350394,1.0423589890040756,0.0036483808016762333,21,0.29398908615112307,0.03349324807515589,1.6082442283630372,0.11406767100601209,"{'k': 4, 'sim_options': {'name': 'msd', 'min_support': 3, 'user_based': True}}",4,"{'name': 'msd', 'min_support': 3, 'user_based': True}"
3,1.1072431252471306,1.1109719914835015,1.1104266523166824,1.1125097767754644,1.1117925548933092,1.1105888201432177,0.001816911926827016,45,0.8736084461212158,0.0608360473557506,1.746959352493286,0.08462623917614977,"{'k': 4, 'sim_options': {'name': 'cosine', 'min_support': 1, 'user_based': True}}",4,"{'name': 'cosine', 'min_support': 1, 'user_based': True}"
4,1.1026709853131396,1.1030304538777176,1.103467277868755,1.1076080895263969,1.1052654516110099,1.104408451639404,0.0018316990305116097,41,0.8265935897827148,0.02590044700675881,1.8285776615142821,0.142036406517957,"{'k': 4, 'sim_options': {'name': 'cosine', 'min_support': 2, 'user_based': True}}",4,"{'name': 'cosine', 'min_support': 2, 'user_based': True}"
5,1.0987703816695205,1.0989428707558044,1.0947974704747627,1.1000060402410192,1.0998037121193303,1.0984640950520874,0.0018941669572689749,40,0.8381836891174317,0.05889858390117932,2.1235191345214846,0.24128849031764468,"{'k': 4, 'sim_options': {'name': 'cosine', 'min_support': 3, 'user_based': True}}",4,"{'name': 'cosine', 'min_support': 3, 'user_based': True}"
6,1.1125890037649122,1.104210239112228,1.1116341062092199,1.1126210401642243,1.0971323015743164,1.1076373381649802,0.006122601315108396,44,1.3568196296691895,0.13309211045202837,1.730562400817871,0.05198376826918898,"{'k': 4, 'sim_options': {'name': 'pearson', 'min_support': 1, 'user_based': True}}",4,"{'name': 'pearson', 'min_support': 1, 'user_based': True}"
7,1.1125890037649122,1.104210239112228,1.1116341062092199,1.1126210401642243,1.0971323015743164,1.1076373381649802,0.006122601315108396,43,1.207096815109253,0.05671720020894356,2.029490041732788,0.21064133139162017,"{'k': 4, 'sim_options': {'name': 'pearson', 'min_support': 2, 'user_based': True}}",4,"{'name': 'pearson', 'min_support': 2, 'user_based': True}"
8,1.1072511417003348,1.101784808950696,1.107635758412799,1.1118305711300516,1.0949531387650806,1.1046910837917925,0.00582187755568775,42,1.1995270729064942,0.13238028122901974,1.8642111778259278,0.2614781131437752,"{'k': 4, 'sim_options': {'name': 'pearson', 'min_support': 3, 'user_based': True}}",4,"{'name': 'pearson', 'min_support': 3, 'user_based': True}"
9,1.0182886873252195,1.020422544805074,1.0199721665619577,1.0181667010473185,1.0182448033647196,1.0190189806208578,0.0009734079361268284,12,0.3226451396942139,0.05648494251499486,1.7976388454437255,0.08039845007560616,"{'k': 6, 'sim_options': {'name': 'msd', 'min_support': 1, 'user_based': True}}",6,"{'name': 'msd', 'min_support': 1, 'user_based': True}"
10,1.0137712423040295,1.0167087646991606,1.0162081622884729,1.0139442544898822,1.0131364376790097,1.014753772292111,0.0014264432041605642,11,0.32853379249572756,0.03300057536189178,2.068344974517822,0.22317750802263986,"{'k': 6, 'sim_options': {'name': 'msd', 'min_support': 2, 'user_based': True}}",6,"{'name': 'msd', 'min_support': 2, 'user_based': True}"
11,1.0087722110193202,1.0139951589277802,1.0119436382958964,1.0118980447027248,1.0097059514537279,1.01126300087989,0.0018417205321475292,10,0.3391590595245361,0.023628633417337754,1.9490614414215088,0.10699020699043087,"{'k': 6, 'sim_options': {'name': 'msd', 'min_support': 3, 'user_based': True}}",6,"{'name': 'msd', 'min_support': 3, 'user_based': True}"
12,1.0749231909984347,1.0751679676465065,1.0734913571918687,1.0771039992809506,1.072479299780986,1.0746331629797494,0.0015759448877905784,39,0.9239675998687744,0.043359920684105546,1.8609727382659913,0.061517313174491085,"{'k': 6, 'sim_options': {'name': 'cosine', 'min_support': 1, 'user_based': True}}",6,"{'name': 'cosine', 'min_support': 1, 'user_based': True}"
13,1.0695244185723483,1.071223040512244,1.066416748212858,1.0709171835734583,1.0672345254366227,1.069063183261506,0.0019319754873948452,36,0.8608489990234375,0.060225933152421064,1.9483873844146729,0.1551668298631162,"{'k': 6, 'sim_options': {'name': 'cosine', 'min_support': 2, 'user_based': True}}",6,"{'name': 'cosine', 'min_support': 2, 'user_based': True}"
14,1.0666524448092922,1.0676444702353007,1.0620270633431195,1.0650821598688,1.0621873075555948,1.0647186891624216,0.0022840516252104347,34,0.8038704872131348,0.028612709837288565,1.8681154727935791,0.13242912965398015,"{'k': 6, 'sim_options': {'name': 'cosine', 'min_support': 3, 'user_based': True}}",6,"{'name': 'cosine', 'min_support': 3, 'user_based': True}"
